Brown,17,Harvard,24
Cornell,12,Yale,51
Columbia,32,Princeton,42
Penn,13,Dartmouth,21
Harvard,32,Cornell,15
Dartmouth,10,Yale,50
Princeton,24,Brown,33
Penn,59,Columbia,28
Brown,31,Cornell,38
Columbia,28,Dartmouth,37
Princeton,10,Harvard,27
Yale,26,Penn,20
Penn,17,Brown,31
Yale,28,Columbia,7
Cornell,31,Princeton,34
Dartmouth,21,Harvard,28
Brown,7,Yale,17
Harvard,27,Columbia,12
Cornell,31,Dartmouth,59
Princeton,0,Penn,7
Dartmouth,35,Brown,56
Columbia,14,Cornell,34
Penn,7,Harvard,23
Yale,27,Princeton,6
Brown,30,Columbia,22
Cornell,9,Penn,45
Princeton,17,Dartmouth,14
Harvard,37,Yale,6
new,new,new,new
Harvard,22,Brown,24
Yale,14,Cornell,17
Dartmouth,10,Penn,23
Princeton,27,Columbia,24
Cornell,17,Harvard,38
Yale,34,Dartmouth,7
Brown,31,Princeton,10
Columbia,10,Penn,15
Cornell,7,Brown,27
Dartmouth,13,Columbia,21
Harvard,24,Princeton,20
Penn,9,Yale,7
Brown,34,Penn,27
Columbia,12,Yale,27
Princeton,31,Cornell,26
Harvard,35,Dartmouth,7
Yale,13,Brown,3
Columbia,28,Harvard,42
Dartmouth,14,Cornell,37
Penn,14,Princeton,9
Cornell,7,Columbia,17
Brown,45,Dartmouth,16
Harvard,24,Penn,21
Princeton,0,Yale,14
Columbia,10,Brown,41
Penn,23,Cornell,6
Dartmouth,8,Princeton,28
Yale,0,Harvard,10
new,new,new,new
Brown,21,Harvard,24
Cornell,14,Yale,12
Penn,30,Dartmouth,24
Columbia,38,Princeton,0
Dartmouth,7,Yale,38
Harvard,28,Cornell,10
Princeton,17,Brown,34
Penn,27,Columbia,13
Princeton,3,Harvard,37
Brown,34,Cornell,14
Columbia,6,Dartmouth,28
Yale,0,Penn,9
Dartmouth,21,Harvard,42
Penn,14,Brown,7
Yale,23,Columbia,22
Cornell,13,Princeton,17
Cornell,17,Dartmouth,20
Harvard,34,Columbia,14
Brown,35,Yale,21
Princeton,7,Penn,42
Penn,17,Harvard,7
Columbia,30,Cornell,20
Dartmouth,7,Brown,14
Yale,17,Princeton,24
Harvard,14,Yale,10
Brown,14,Columbia,28
Princeton,23,Dartmouth,11
Cornell,0,Penn,34
new,new,new,new
Yale,21,Cornell,7
Harvard,14,Brown,29
Princeton,14,Columbia,42
Dartmouth,28,Penn,35
Cornell,17,Harvard,31
Yale,23,Dartmouth,20
Columbia,13,Penn,27
Brown,17,Princeton,13
Penn,27,Yale,20
Cornell,14,Brown,27
Harvard,45,Princeton,28
Dartmouth,24,Columbia,21
Columbia,28,Yale,31
Princeton,19,Cornell,21
Brown,7,Penn,24
Harvard,30,Dartmouth,14
Columbia,7,Harvard,23
Yale,27,Brown,24
Dartmouth,28,Cornell,10
Penn,52,Princeton,10
Princeton,13,Yale,14
Brown,35,Dartmouth,28
Cornell,17,Columbia,20
Harvard,14,Penn,34
Yale,21,Harvard,28
Columbia,16,Brown,38
Penn,31,Cornell,7
Dartmouth,31,Princeton,0
new,new,new,new
Brown,7,Harvard,24
Cornell,17,Yale,37
Penn,22,Dartmouth,20
Columbia,21,Princeton,24
Dartmouth,0,Yale,30
Harvard,41,Cornell,31
Princeton,0,Brown,34
Penn,27,Columbia,20
Yale,25,Penn,37
Brown,35,Cornell,24
Princeton,39,Harvard,56
Columbia,0,Dartmouth,37
Yale,16,Columbia,13
Penn,0,Brown,6
Cornell,24,Princeton,7
Dartmouth,10,Harvard,41
Brown,34,Yale,28
Harvard,35,Columbia,21
Princeton,9,Penn,37
Cornell,24,Dartmouth,33
Yale,33,Princeton,24
Penn,20,Harvard,37
Dartmouth,21,Brown,16
Columbia,41,Cornell,62
Harvard,45,Yale,7
Brown,28,Columbia,35
Cornell,48,Penn,38
Princeton,17,Dartmouth,24
new,new,new,new
Yale,6,Cornell,45
Harvard,45,Brown,31
Penn,28,Dartmouth,21
Princeton,33,Columbia,6
Dartmouth,34,Yale,14
Cornell,13,Harvard,45
Brown,0,Princeton,19
Columbia,20,Penn,24
Penn,13,Yale,27
Cornell,14,Brown,21
Harvard,34,Princeton,39
Dartmouth,21,Columbia,16
Yale,22,Columbia,26
Princeton,35,Cornell,37
Brown,17,Penn,20
Harvard,31,Dartmouth,14
Yale,0,Brown,20
Dartmouth,44,Cornell,28
Columbia,0,Harvard,69
Penn,28,Princeton,21
Princeton,29,Yale,7
Harvard,21,Penn,30
Cornell,17,Columbia,34
Brown,28,Dartmouth,24
Yale,24,Harvard,34
Columbia,6,Brown,22
Penn,35,Cornell,28
Dartmouth,35,Princeton,21
new,new,new,new
Cornell,23,Yale,38
Brown,23,Harvard,41
Columbia,7,Princeton,53
Dartmouth,31,Penn,37
Harvard,34,Cornell,24
Yale,13,Dartmouth,20
Penn,21,Columbia,7
Princeton,39,Brown,17
Brown,42,Cornell,35
Yale,17,Penn,28
Princeton,51,Harvard,48
Columbia,0,Dartmouth,56
Columbia,12,Yale,53
Penn,0,Brown,27
Cornell,20,Princeton,53
Dartmouth,21,Harvard,24
Brown,17,Yale,24
Princeton,38,Penn,26
Harvard,34,Columbia,0
Cornell,6,Dartmouth,34
Penn,30,Harvard,38
Dartmouth,24,Brown,20
Columbia,9,Cornell,24
Yale,23,Princeton,59
Harvard,34,Yale,7
Cornell,42,Penn,41
Brown,48,Columbia,7
Princeton,24,Dartmouth,28
new,new,new,new
Harvard,22,Brown,14
Yale,51,Cornell,13
Princeton,38,Columbia,6
Penn,13,Dartmouth,31
Cornell,7,Harvard,24
Dartmouth,38,Yale,31
Columbia,7,Penn,31
Brown,16,Princeton,27
Cornell,16,Brown,42
Harvard,49,Princeton,7
Dartmouth,27,Columbia,7
Penn,21,Yale,43
Yale,25,Columbia,7
Princeton,38,Cornell,27
Brown,21,Penn,13
Harvard,23,Dartmouth,12
Yale,45,Brown,42
Dartmouth,42,Cornell,7
Columbia,0,Harvard,45
Penn,17,Princeton,22
Brown,21,Dartmouth,44
Princeton,30,Yale,44
Cornell,30,Columbia,27
Harvard,34,Penn,24
Yale,24,Harvard,31
Columbia,7,Brown,41
Penn,34,Cornell,26
Dartmouth,41,Princeton,10
new,new,new,new
Cornell,26,Yale,33
Brown,27,Harvard,53
Columbia,5,Princeton,10
Dartmouth,41,Penn,20
Harvard,40,Cornell,3
Yale,3,Dartmouth,35
Princeton,31,Brown,38
Penn,42,Columbia,7
Yale,20,Penn,34
Princeton,7,Harvard,42
Brown,44,Cornell,24
Columbia,9,Dartmouth,13
Dartmouth,13,Harvard,14
Penn,48,Brown,28
Columbia,17,Yale,7
Cornell,21,Princeton,47
Cornell,3,Dartmouth,21
Princeton,23,Penn,26
Brown,14,Yale,41
Harvard,24,Columbia,16
Penn,35,Harvard,25
Dartmouth,34,Brown,18
Columbia,0,Cornell,3
Yale,35,Princeton,28
Brown,28,Columbia,23
Princeton,10,Dartmouth,17
Cornell,21,Penn,34
Harvard,38,Yale,19
new,new,new,new
Harvard,32,Brown,22
Yale,13,Cornell,27
Princeton,48,Columbia,13
Penn,37,Dartmouth,24
Dartmouth,13,Yale,21
Cornell,13,Harvard,29
Columbia,10,Penn,35
Brown,7,Princeton,31
Penn,42,Yale,7
Cornell,21,Brown,28
Harvard,23,Princeton,20
Dartmouth,7,Columbia,9
Yale,31,Columbia,23
Princeton,56,Cornell,7
Brown,14,Penn,21
Harvard,23,Dartmouth,21
Penn,0,Princeton,28
Yale,22,Brown,27
Columbia,21,Harvard,28
Dartmouth,17,Cornell,13
Harvard,14,Penn,27
Brown,24,Dartmouth,21
Princeton,31,Yale,3
Cornell,42,Columbia,40
